2011-08-14 18:07:57 Debug: Notice (8): Undefined variable: param in [C:\WAMPS\apache\htdocs\cakephp\app\views\elements\footer.ctp, line 1]
2011-08-17 04:55:02 Debug: Notice (8): Use of undefined constant PagesController - assumed 'PagesController' in [C:\WAMPS\apache\htdocs\cakephp\app\views\pages\sobre-o-evento.ctp, line 1]
2011-08-17 04:55:25 Debug: Notice (8): Undefined property: View::$PagesController in [C:\WAMPS\apache\htdocs\cakephp\app\views\pages\sobre-o-evento.ctp, line 1]
2011-08-17 04:56:31 Debug: Notice (8): Undefined property: View::$pageTitle in [C:\WAMPS\apache\htdocs\cakephp\app\views\pages\sobre-o-evento.ctp, line 1]
2011-08-17 04:57:06 Debug: Notice (8): Undefined property: View::$PagesController in [C:\WAMPS\apache\htdocs\cakephp\app\views\pages\sobre-o-evento.ctp, line 1]
2011-08-17 04:57:40 Debug: Notice (8): Undefined property: View::$pageTitle in [C:\WAMPS\apache\htdocs\cakephp\app\views\pages\sobre-o-evento.ctp, line 1]
2011-08-24 11:04:40 Notice: Notice (8): Undefined property: HtmlHelper::$Form in [/srv/www/cake.neryuuk.com/public_html/app/views/inscricoes/inscrever.ctp, line 2]
2011-08-24 11:05:17 Notice: Notice (8): Undefined index:  in [/srv/www/cake.neryuuk.com/public_html/cake/libs/view/helpers/form.php, line 623]
2011-08-28 19:56:29 Debug: Notice (8): Use of undefined constant PHPEOL - assumed 'PHPEOL' in [C:\WAMPS\apache\htdocs\cakephp\app\views\inscricoes\inscrever.ctp, line 45]
2011-08-28 19:56:36 Debug: Notice (8): Use of undefined constant PHPEOL - assumed 'PHPEOL' in [C:\WAMPS\apache\htdocs\cakephp\app\views\inscricoes\inscrever.ctp, line 45]
2011-09-01 11:34:53 Debug: Notice (8): Undefined property: View::$palestrantes in [C:\WAMPS\apache\htdocs\cakephp\app\views\palestrantes\index.ctp, line 3]
2011-09-01 11:36:47 Debug: Notice (8): Undefined property: View::$Palestrante in [C:\WAMPS\apache\htdocs\cakephp\app\views\palestrantes\index.ctp, line 3]
2011-09-01 11:37:07 Debug: Notice (8): Undefined property: View::$Palestrante in [C:\WAMPS\apache\htdocs\cakephp\app\views\palestrantes\index.ctp, line 3]
2011-09-01 11:37:25 Debug: Notice (8): Undefined property: View::$Palestrantes in [C:\WAMPS\apache\htdocs\cakephp\app\views\palestrantes\index.ctp, line 3]
2011-09-01 11:37:27 Debug: Notice (8): Undefined property: View::$Palestrantes in [C:\WAMPS\apache\htdocs\cakephp\app\views\palestrantes\index.ctp, line 3]
2011-09-01 11:39:01 Debug: Notice (8): Trying to get property of non-object in [C:\WAMPS\apache\htdocs\cakephp\app\views\palestrantes\index.ctp, line 3]
2011-09-01 11:39:25 Debug: Notice (8): Trying to get property of non-object in [C:\WAMPS\apache\htdocs\cakephp\app\views\palestrantes\index.ctp, line 3]
2011-09-01 11:40:37 Debug: Notice (8): Undefined index: palestrante in [C:\WAMPS\apache\htdocs\cakephp\app\views\palestrantes\index.ctp, line 3]
2011-09-01 11:40:45 Debug: Notice (8): Undefined index: palestrante in [C:\WAMPS\apache\htdocs\cakephp\app\views\palestrantes\index.ctp, line 3]
2011-09-01 18:55:59 Debug: Notice (8): Undefined index: email in [C:\WAMPS\apache\htdocs\cakephp\app\views\palestrantes\index.ctp, line 6]
2011-09-01 18:56:07 Debug: Notice (8): Undefined index: email in [C:\WAMPS\apache\htdocs\cakephp\app\views\palestrantes\index.ctp, line 6]
2011-09-01 20:29:51 Debug: Notice (8): Undefined property: View::$palestrantes in [C:\WAMPS\apache\htdocs\cakephp\app\views\palestrantes\index.ctp, line 3]
2011-09-01 20:29:55 Debug: Notice (8): Undefined property: View::$palestrantes in [C:\WAMPS\apache\htdocs\cakephp\app\views\palestrantes\index.ctp, line 3]
2011-09-04 11:50:57 Debug: Notice (8): Undefined variable: palestras in [C:\WAMPS\apache\htdocs\cakephp\app\views\palestras\index.ctp, line 3]
2011-09-04 11:53:10 Debug: Notice (8): Undefined variable: palestras in [C:\WAMPS\apache\htdocs\cakephp\app\views\palestras\index.ctp, line 3]
2011-09-04 11:56:34 Debug: Notice (8): Undefined variable: palestras in [C:\WAMPS\apache\htdocs\cakephp\app\views\palestras\index.ctp, line 3]
2011-09-04 11:56:47 Debug: Notice (8): Undefined variable: palestras in [C:\WAMPS\apache\htdocs\cakephp\app\views\palestras\index.ctp, line 3]
2011-09-04 12:39:30 Debug: Notice (8): Undefined variable: palestras in [C:\WAMPS\apache\htdocs\cakephp\app\views\palestras\adicionar.ctp, line 3]
2011-09-04 12:39:38 Debug: Notice (8): Undefined variable: palestras in [C:\WAMPS\apache\htdocs\cakephp\app\views\palestras\adicionar.ctp, line 3]
2011-09-04 13:15:33 Debug: Notice (8): Undefined variable: id in [C:\WAMPS\apache\htdocs\cakephp\app\controllers\palestras_controller.php, line 17]
2011-09-04 13:16:53 Debug: Notice (8): Undefined variable: id in [C:\WAMPS\apache\htdocs\cakephp\app\controllers\palestras_controller.php, line 17]
2011-09-04 13:21:40 Debug: Notice (8): Undefined variable: id in [C:\WAMPS\apache\htdocs\cakephp\app\controllers\palestras_controller.php, line 17]
2011-09-04 13:22:15 Debug: Notice (8): Undefined variable: id in [C:\WAMPS\apache\htdocs\cakephp\app\controllers\palestras_controller.php, line 17]
2011-09-04 13:37:50 Debug: Notice (8): Undefined variable: id in [C:\WAMPS\apache\htdocs\cakephp\app\controllers\palestras_controller.php, line 17]
2011-09-04 13:53:26 Debug: Notice (8): Undefined variable: banana in [C:\WAMPS\apache\htdocs\cakephp\app\controllers\palestras_controller.php, line 19]
2011-09-04 13:55:55 Debug: Notice (8): Undefined variable: lixo in [C:\WAMPS\apache\htdocs\cakephp\app\controllers\palestras_controller.php, line 19]
2011-09-04 13:55:55 Debug: Notice (8): Undefined variable: lixo in [C:\WAMPS\apache\htdocs\cakephp\app\controllers\palestras_controller.php, line 19]
2011-09-04 13:56:26 Debug: Notice (8): Undefined variable: lixo in [C:\WAMPS\apache\htdocs\cakephp\app\controllers\palestras_controller.php, line 19]
2011-09-04 13:56:26 Debug: Notice (8): Undefined variable: lixo in [C:\WAMPS\apache\htdocs\cakephp\app\controllers\palestras_controller.php, line 19]
2011-09-04 13:57:24 Debug: Notice (8): Undefined variable: id in [C:\WAMPS\apache\htdocs\cakephp\app\controllers\palestras_controller.php, line 17]
2011-09-04 13:57:24 Debug: Notice (8): Undefined variable: lixo in [C:\WAMPS\apache\htdocs\cakephp\app\controllers\palestras_controller.php, line 19]
2011-09-04 13:57:24 Debug: Notice (8): Undefined variable: id in [C:\WAMPS\apache\htdocs\cakephp\app\controllers\palestras_controller.php, line 21]
2011-09-04 13:57:24 Debug: Notice (8): Undefined variable: id in [C:\WAMPS\apache\htdocs\cakephp\app\controllers\palestras_controller.php, line 17]
2011-09-04 13:57:24 Debug: Notice (8): Undefined variable: lixo in [C:\WAMPS\apache\htdocs\cakephp\app\controllers\palestras_controller.php, line 19]
2011-09-04 13:57:24 Debug: Notice (8): Undefined variable: id in [C:\WAMPS\apache\htdocs\cakephp\app\controllers\palestras_controller.php, line 21]
2011-09-04 13:59:46 Debug: Notice (8): Undefined variable: lixo in [C:\WAMPS\apache\htdocs\cakephp\app\controllers\palestras_controller.php, line 19]
2011-09-04 14:02:17 Debug: Notice (8): Undefined variable: lixo in [C:\WAMPS\apache\htdocs\cakephp\app\controllers\palestras_controller.php, line 19]
2011-09-04 14:02:45 Debug: Notice (8): Undefined variable: nome in [C:\WAMPS\apache\htdocs\cakephp\app\controllers\palestras_controller.php, line 18]
2011-09-04 14:02:45 Debug: Notice (8): Undefined variable: lixo in [C:\WAMPS\apache\htdocs\cakephp\app\controllers\palestras_controller.php, line 19]
2011-09-04 14:03:24 Debug: Notice (8): Undefined variable: lixo in [C:\WAMPS\apache\htdocs\cakephp\app\controllers\palestras_controller.php, line 19]
2011-09-04 14:05:04 Debug: Notice (8): Undefined variable: dados in [C:\WAMPS\apache\htdocs\cakephp\app\controllers\palestras_controller.php, line 19]
2011-09-04 14:05:04 Debug: Notice (8): Undefined variable: dados in [C:\WAMPS\apache\htdocs\cakephp\app\views\palestras\palestra.ctp, line 2]
2011-09-04 14:05:16 Debug: Notice (8): Undefined variable: dados in [C:\WAMPS\apache\htdocs\cakephp\app\controllers\palestras_controller.php, line 19]
2011-09-04 14:05:18 Debug: Notice (8): Undefined variable: dados in [C:\WAMPS\apache\htdocs\cakephp\app\controllers\palestras_controller.php, line 19]
