2011-08-31 21:19:01 Warning: Warning (2): session_destroy() [<a href='http://php.net/function.session-destroy'>function.session-destroy</a>]: Session object destruction failed in [C:\WAMPS\apache\htdocs\cakephp\cake\libs\cake_session.php, line 458]
2011-08-31 21:53:04 Warning: Warning (512): <span style="color:Red;text-align:left"><b>SQL Error:</b> 1062: Duplicate entry '' for key 'email'</span> in [C:\WAMPS\apache\htdocs\cakephp\cake\libs\model\datasources\dbo_source.php, line 684]
2011-08-31 22:00:13 Warning: Warning (512): <span style="color:Red;text-align:left"><b>SQL Error:</b> 1062: Duplicate entry '' for key 'email'</span> in [C:\WAMPS\apache\htdocs\cakephp\cake\libs\model\datasources\dbo_source.php, line 684]
2011-09-01 11:24:21 Warning: Warning (512): <span style="color:Red;text-align:left"><b>SQL Error:</b> 1054: Unknown column 'Palestra.palestrante_id' in 'field list'</span> in [C:\WAMPS\apache\htdocs\cakephp\cake\libs\model\datasources\dbo_source.php, line 684]
2011-09-01 11:24:21 Warning: Warning (2): Invalid argument supplied for foreach() in [C:\WAMPS\apache\htdocs\cakephp\cake\libs\model\datasources\dbo_source.php, line 1098]
2011-09-01 11:25:46 Warning: Warning (512): <span style="color:Red;text-align:left"><b>SQL Error:</b> 1054: Unknown column 'Palestra.palestrante_id' in 'field list'</span> in [C:\WAMPS\apache\htdocs\cakephp\cake\libs\model\datasources\dbo_source.php, line 684]
2011-09-01 11:25:46 Warning: Warning (2): Invalid argument supplied for foreach() in [C:\WAMPS\apache\htdocs\cakephp\cake\libs\model\datasources\dbo_source.php, line 1098]
2011-09-01 11:26:33 Warning: Warning (512): <span style="color:Red;text-align:left"><b>SQL Error:</b> 1054: Unknown column 'Palestra.palestrante_id' in 'field list'</span> in [C:\WAMPS\apache\htdocs\cakephp\cake\libs\model\datasources\dbo_source.php, line 684]
2011-09-01 11:26:33 Warning: Warning (2): Invalid argument supplied for foreach() in [C:\WAMPS\apache\htdocs\cakephp\cake\libs\model\datasources\dbo_source.php, line 1098]
2011-09-01 20:29:51 Warning: Warning (2): Invalid argument supplied for foreach() in [C:\WAMPS\apache\htdocs\cakephp\app\views\palestrantes\index.ctp, line 3]
2011-09-01 20:29:55 Warning: Warning (2): Invalid argument supplied for foreach() in [C:\WAMPS\apache\htdocs\cakephp\app\views\palestrantes\index.ctp, line 3]
2011-09-04 11:50:57 Warning: Warning (2): Invalid argument supplied for foreach() in [C:\WAMPS\apache\htdocs\cakephp\app\views\palestras\index.ctp, line 3]
2011-09-04 11:53:10 Warning: Warning (2): Invalid argument supplied for foreach() in [C:\WAMPS\apache\htdocs\cakephp\app\views\palestras\index.ctp, line 3]
2011-09-04 11:56:34 Warning: Warning (2): Invalid argument supplied for foreach() in [C:\WAMPS\apache\htdocs\cakephp\app\views\palestras\index.ctp, line 3]
2011-09-04 11:56:47 Warning: Warning (2): Invalid argument supplied for foreach() in [C:\WAMPS\apache\htdocs\cakephp\app\views\palestras\index.ctp, line 3]
